Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Paulo Gazzaniga\Paulo-Gazzaniga,ARG,GK,Tottenham,27,1992,17.9,553,505,553,0,0,0,391,0,0,,0,0,239,909,496,231,229,99.1,1,0
Jean-Philippe Gbamin\Jean-Philippe-Gbamin,CIV,MF,Everton,23,1995,1.5,85,8,20,57,14,0,83,1,1,100,1,0,57,337,142,56,54,96.4,0,5
David de Gea\David-de-Gea,ESP,GK,Manchester Utd,28,1990,38,997,927,997,0,0,0,658,0,0,,0,0,420,1853,878,373,372,99.7,0,0
Anwar El Ghazi\Anwar-El-Ghazi,NED,FWMF,Aston Villa,24,1995,22.8,843,29,121,311,487,73,798,35,56,62.5,37,3,591,4370,2609,912,606,66.4,37,41
Morgan Gibbs-White\Morgan-Gibbs-White,ENG,MFFW,Wolves,19,2000,1.4,99,1,15,49,43,5,97,1,5,20,1,0,77,462,265,99,80,80.8,7,1
Billy Gilmour\Billy-Gilmour,SCO,MF,Chelsea,18,2001,2.2,196,5,54,125,34,2,195,3,6,50,3,0,145,711,310,157,150,95.5,2,6
Olivier Giroud\Olivier-Giroud,FRA,FW,Chelsea,32,1986,11,415,16,28,229,165,65,389,2,3,66.7,2,0,170,395,207,541,301,55.6,18,6
Ben Godfrey\Ben-Godfrey,ENG,DF,Norwich City,21,1998,29.4,1907,390,1246,725,68,11,1861,7,14,50,7,0,1247,7680,3897,1324,1305,98.6,4,7
André Gomes\Andre-Gomes,POR,MF,Everton,26,1993,16.2,989,33,234,662,157,10,965,26,35,74.3,26,2,759,3840,1714,763,710,93.1,15,26
Angel Gomes\Angel-Gomes,ENG,MF,Manchester Utd,18,2000,0.2,15,0,0,11,8,1,15,0,0,,0,0,13,78,50,18,14,77.8,0,1
Joe Gomez\Joe-Gomez,ENG,DF,Liverpool,22,1997,22.3,2141,175,860,1344,67,4,2097,11,16,68.8,12,0,1564,8111,4142,1578,1566,99.2,10,2
Anthony Gordon\Anthony-Gordon,ENG,MFFW,Everton,18,2001,4.9,197,4,35,107,75,8,189,9,20,45,11,0,142,1020,605,165,133,80.6,7,12
Dan Gosling\Dan-Gosling,ENG,MF,Bournemouth,29,1990,14,717,40,192,359,196,34,708,6,14,42.9,6,0,413,1791,744,549,449,81.8,26,31
Andre Gray\Andre-Gray,ENG,FW,Watford,28,1991,8.4,239,4,10,84,156,44,231,6,13,46.2,7,1,160,736,310,391,181,46.3,29,19
Demarai Gray\Demarai-Gray,ENG,MFFW,Leicester City,23,1996,6.9,431,4,46,185,247,40,415,11,27,40.7,13,0,351,2741,1573,407,325,79.9,18,20
Jack Grealish\Jack-Grealish,ENG,FWMF,Aston Villa,23,1995,35.9,2029,44,337,912,1046,140,1857,71,120,59.2,76,5,1582,15461,9105,1776,1467,82.6,62,78
Mason Greenwood\Mason-Greenwood,ENG,FW,Manchester Utd,17,2001,14.7,645,5,68,286,328,60,642,21,31,67.7,21,1,506,2868,1580,683,516,75.5,31,22
Arnaut Groeneveld\Arnaut-Groeneveld,NED,MF,Bournemouth,22,1997,7,310,5,61,153,133,29,303,21,37,56.8,23,0,244,2144,1286,304,241,79.3,15,14
Pascal Groß\Pascal-Gross,GER,FWMF,Brighton,28,1991,20,1222,12,125,560,613,55,1083,10,19,52.6,10,1,810,3813,1641,1118,855,76.5,32,24
Vicente Guaita\Vicente-Guaita,ESP,GK,Crystal Palace,32,1987,35,1148,1026,1143,7,0,0,796,0,0,,0,0,499,2378,1599,425,425,100,0,0
Mattéo Guendouzi\Matteo-Guendouzi,FRA,MF,Arsenal,20,1999,19.4,1357,76,364,858,265,21,1332,29,42,69,29,2,1042,7210,3891,1053,993,94.3,9,28
Frederic Guilbert\Frederic-Guilbert,FRA,DF,Aston Villa,24,1994,22.7,1359,110,439,605,391,12,1146,24,41,58.5,28,2,626,3648,2093,720,639,88.8,14,32
İlkay Gündoğan\Ilkay-Gundogan,GER,MF,Manchester City,28,1990,22.4,2117,55,298,1339,609,47,2057,22,27,81.5,23,0,1520,6629,3239,1788,1712,95.7,5,12
Angus Gunn\Angus-Gunn,ENG,GK,Southampton,23,1996,10,278,234,277,2,0,0,167,0,0,,0,0,100,671,370,83,81,97.6,0,0
Sébastien Haller\Sebastien-Haller,FRA,FW,West Ham,25,1994,25.2,1062,31,96,605,408,123,1031,24,38,63.2,25,2,580,2473,1156,1520,809,53.2,70,40
Grant Hanley\Grant-Hanley,SCO,DF,Norwich City,27,1991,14,831,149,541,324,15,10,801,2,3,66.7,2,0,486,2302,1014,516,502,97.3,1,2
Kortney Hause\Kortney-Hause,ENG,DF,Aston Villa,24,1995,17.2,1024,182,604,432,46,27,980,11,14,78.6,11,1,510,3279,1619,549,528,96.2,6,14
Isaac Hayden\Isaac-Hayden,ENG,MF,Newcastle Utd,24,1995,24.7,1091,46,312,557,267,30,1048,31,45,68.9,34,1,649,2754,1338,719,609,84.7,25,31
Tom Heaton\Tom-Heaton,ENG,GK,Aston Villa,33,1986,19.9,671,597,659,11,1,0,399,0,0,,0,0,239,1226,696,205,202,98.5,0,0
Dean Henderson\Dean-Henderson,ENG,GK,Sheffield Utd,22,1997,36,1125,1007,1117,8,1,1,751,0,0,,0,0,486,3635,2083,372,371,99.7,1,0
Jordan Henderson\Jordan-Henderson,ENG,MF,Liverpool,29,1990,24.9,2098,40,327,1374,508,45,2055,18,33,54.5,22,3,1456,7357,3525,1674,1553,92.8,17,11
Jeff Hendrick\Jeff-Hendrick,IRL,MF,Burnley,27,1992,21.5,780,40,151,385,282,41,752,25,48,52.1,27,0,515,2773,1291,603,471,78.1,19,35
Wayne Hennessey\Wayne-Hennessey,WAL,GK,Crystal Palace,32,1987,3,116,104,114,2,0,0,64,0,0,,0,0,37,167,105,36,36,100,0,0
Javier Hernández\Javier-Hernandez,MEX,FW,West Ham,31,1988,1.2,29,0,1,19,10,4,24,0,1,0,1,1,14,35,8,39,18,46.2,0,2
Onel Hernández\Onel-Hernandez,CUB,FWMF,Norwich City,26,1993,15.4,565,19,104,205,309,78,556,43,68,63.2,45,3,455,4186,2955,554,368,66.4,32,50
Son Heung-min\Son-Heung-min,KOR,FWMF,Tottenham,27,1992,27.5,1241,26,155,492,691,147,1162,67,116,57.8,75,4,936,6827,4078,1273,868,68.2,46,69
George Hirst\George-Hirst,ENG,FW,Leicester City,20,1999,0.1,14,0,0,6,8,2,14,0,0,,0,0,8,33,10,14,12,85.7,1,1
Rob Holding\Rob-Holding,ENG,DF,Arsenal,23,1995,6.5,421,84,248,189,14,7,413,2,6,33.3,2,1,274,1585,926,302,297,98.3,3,0
José Holebas\Jose-Holebas,GRE,DF,Watford,35,1984,11.4,720,37,178,352,219,10,537,6,14,42.9,7,1,329,1596,907,387,347,89.7,4,5
Mason Holgate\Mason-Holgate,ENG,DF,Everton,22,1996,22.8,1268,189,724,592,46,14,1233,10,12,83.3,10,0,734,5026,2906,774,762,98.4,2,4
Nathan Holland\Nathan-Holland,ENG,MF,West Ham,21,1998,0.4,21,0,3,6,14,1,20,3,4,75,3,0,21,136,90,21,18,85.7,1,1
Conor Hourihane\Conor-Hourihane,IRL,MF,Aston Villa,28,1991,17,855,40,135,402,343,32,703,6,9,66.7,6,0,449,1694,724,585,492,84.1,10,11
Callum Hudson-Odoi\Callum-Hudson-Odoi,ENG,FW,Chelsea,18,2000,9.6,624,3,55,214,396,56,599,34,54,63,37,1,530,3783,2313,621,494,79.5,25,29
Will Hughes\Will-Hughes,ENG,MFFW,Watford,24,1995,25,1260,48,245,633,466,50,1198,25,31,80.6,26,2,741,4023,2474,839,693,82.6,31,38
Pierre Højbjerg\Pierre-Hojbjerg,DEN,MF,Southampton,23,1995,30.6,2214,95,446,1360,526,50,2158,41,55,74.5,46,0,1412,7509,3280,1458,1336,91.6,40,37
Jordon Ibe\Jordon-Ibe,ENG,DF,Bournemouth,23,1995,0.6,31,3,7,20,8,1,28,1,3,33.3,2,1,23,285,189,18,17,94.4,3,1
Adam Idah\Adam-Idah,IRL,FWMF,Norwich City,18,2001,2.5,88,1,8,43,39,10,83,0,3,0,0,0,53,328,130,113,61,54,11,9
Odion Ighalo\Odion-Ighalo,NGA,FW,Manchester Utd,30,1989,1.1,46,1,1,22,25,14,46,4,7,57.1,4,0,38,206,96,56,35,62.5,2,5
Kelechi Iheanacho\Kelechi-Iheanacho,NGA,FW,Leicester City,22,1996,10.7,426,5,32,173,243,80,420,19,29,65.5,21,1,332,1836,1056,583,344,59,43,28
Danny Ings\Danny-Ings,ENG,FW,Southampton,27,1992,31.2,1115,37,117,463,602,180,1099,57,93,61.3,63,7,745,4367,2333,1256,723,57.6,70,53
Alex Iwobi\Alex-Iwobi,NGA,MFFW,Everton,23,1996,17.7,787,16,125,386,348,48,776,27,40,67.5,27,4,620,4339,2568,698,544,77.9,29,30
Phil Jagielka\Phil-Jagielka,ENG,DF,Sheffield Utd,36,1982,2.7,117,26,76,42,3,1,114,0,0,,0,0,41,200,46,45,43,95.6,1,0
Alireza Jahanbakhsh\Alireza-Jahanbakhsh,IRN,FWMF,Brighton,25,1993,3.5,194,4,21,60,127,12,190,7,13,53.8,7,0,152,778,402,180,142,78.9,6,8
Daniel James\Daniel-James,WAL,FW,Manchester Utd,21,1997,25.4,1085,10,135,438,622,102,1074,28,63,44.4,30,5,870,7217,5052,1097,827,75.4,33,46
Matty James\Matty-James,ENG,MF,Leicester City,28,1991,0.1,6,0,3,3,0,0,6,0,0,,0,0,5,21,5,6,6,100,0,0
Reece James\Reece-James,ENG,DF,Chelsea,19,1999,16.8,1483,43,352,714,503,23,1300,28,38,73.7,29,0,1026,4899,2452,1044,983,94.2,14,27
Daryl Janmaat\Daryl-Janmaat,NED,DF,Watford,30,1989,6.7,409,31,111,179,146,8,355,9,12,75,9,0,267,1322,764,276,247,89.5,4,4
Gabriel Jesus\Gabriel-Jesus,BRA,FW,Manchester City,22,1997,22.6,916,8,57,357,542,204,896,51,73,69.9,52,1,647,3206,1582,1090,686,62.9,51,35
Raúl Jiménez\Raul-Jimenez,MEX,FW,Wolves,28,1991,36,1489,37,125,785,668,199,1448,75,110,68.2,76,4,1050,6590,3674,1839,1150,62.5,97,88
Joelinton\Joelinton,BRA,FW,Newcastle Utd,22,1996,29.8,1224,40,129,684,474,109,1185,48,74,64.9,52,2,771,4780,2257,1573,873,55.5,127,82
Ben Johnson\Ben-Johnson,ENG,DF,West Ham,19,2000,3,196,15,71,87,43,0,167,1,1,100,1,0,95,465,199,109,104,95.4,1,2
Curtis Jones\Curtis-Jones,ENG,MF,Liverpool,18,2001,1.4,146,1,21,79,54,7,146,4,4,100,4,0,116,588,347,124,115,92.7,3,3
Phil Jones\Phil-Jones,ENG,DF,Manchester Utd,27,1992,1.5,116,12,60,56,9,2,113,0,0,,0,0,66,435,262,68,67,98.5,0,0
Bruno Jordão\Bruno-Jordao,POR,FW,Wolves,20,1998,0.1,6,0,0,4,2,0,6,0,0,,0,0,5,39,27,3,3,100,0,0
Jorginho\Jorginho,ITA,MF,Chelsea,27,1991,26.4,2472,81,589,1623,408,15,2418,17,24,70.8,19,0,1801,7674,3786,1862,1791,96.2,8,22
Jota\Jota,ESP,FWMF,Aston Villa,28,1991,3.7,145,8,24,69,70,11,140,8,17,47.1,12,1,118,995,551,131,98,74.8,5,11
Diogo Jota\Diogo-Jota,POR,FWMF,Wolves,22,1996,25.4,1248,10,129,626,629,155,1209,76,132,57.6,85,12,1028,8170,5851,1293,943,72.9,66,72
James Justin\James-Justin,ENG,DF,Leicester City,21,1998,11.2,944,28,248,489,267,19,834,13,17,76.5,14,0,596,2897,1685,661,606,91.7,13,16
Christian Kabasele\Christian-Kabasele,BEL,DF,Watford,28,1991,25,947,197,574,387,27,18,936,7,8,87.5,8,0,458,2277,883,448,433,96.7,7,8
Harry Kane\Harry-Kane,ENG,FW,Tottenham,26,1993,28.7,923,39,85,467,434,132,886,28,59,47.5,34,3,607,3924,2018,1328,689,51.9,52,43
N'Golo Kanté\NGolo-Kante,FRA,MF,Chelsea,28,1991,19.2,1398,50,289,785,417,37,1389,28,46,60.9,30,1,970,5311,2819,1045,915,87.6,26,32
Moise Kean\Moise-Kean,ITA,FW,Everton,19,2000,9.5,275,6,25,110,165,52,270,30,44,68.2,32,5,216,1706,961,419,198,47.3,22,26
Michael Keane\Michael-Keane,ENG,DF,Everton,26,1993,28.4,1720,329,1031,730,44,29,1681,0,0,,0,0,948,5581,2876,1064,1042,97.9,3,3
Naby Keïta\Naby-Keita,GUI,MF,Liverpool,24,1995,9.1,783,8,88,493,261,26,775,20,26,76.9,21,1,588,3545,2087,668,605,90.6,8,10
Lloyd Kelly\Lloyd-Kelly,ENG,DF,Bournemouth,20,1998,7.1,283,44,151,95,55,7,246,1,1,100,1,0,137,880,375,134,125,93.3,4,1
Martin Kelly\Martin-Kelly,ENG,DF,Crystal Palace,29,1990,17.2,865,100,405,401,93,5,738,3,5,60,3,1,429,2041,908,457,433,94.7,7,7
Max Kilman\Max-Kilman,ENG,DF,Wolves,22,1997,2.1,118,16,65,58,1,0,118,1,1,100,1,0,66,302,173,77,74,96.1,0,0
Joshua King\Joshua-King,NOR,FWMF,Bournemouth,27,1992,22.3,824,12,104,356,451,104,809,62,122,50.8,67,7,668,5794,3505,983,601,61.1,73,72
Timm Klose\Timm-Klose,SUI,DF,Norwich City,31,1988,6.5,452,66,272,198,8,4,438,0,1,0,1,0,270,1357,675,309,305,98.7,2,2
Jonathan Kodjia\Jonathan-Kodjia,CIV,FWMF,Aston Villa,29,1989,1.3,49,3,5,23,24,7,43,2,2,100,2,0,27,208,100,62,29,46.8,4,2
Sead Kolašinac\Sead-Kolasinac,BIH,DF,Arsenal,26,1993,18.9,1182,67,359,601,296,31,1071,14,18,77.8,14,0,730,3768,2366,796,744,93.5,10,14
Ezri Konsa\Ezri-Konsa,ENG,DF,Aston Villa,21,1998,22.7,1066,122,509,502,106,19,968,7,11,63.6,7,0,557,2578,1385,610,577,94.6,5,6
Cheikhou Kouyaté\Cheikhou-Kouyate,SEN,MFDF,Crystal Palace,29,1989,28.1,1210,84,397,622,252,55,1194,18,35,51.4,20,1,679,3472,1659,861,684,79.4,38,22
Mateo Kovačić\Mateo-Kovacic,CRO,MF,Chelsea,25,1994,23,2085,38,402,1365,474,21,2048,59,77,76.6,60,1,1693,9800,4922,1729,1646,95.2,21,24
Emil Krafth\Emil-Krafth,SWE,DF,Newcastle Utd,24,1994,11.3,540,55,245,217,110,15,465,6,6,100,6,1,292,1392,806,311,286,92,7,3
Tim Krul\Tim-Krul,NED,GK,Norwich City,31,1988,36,1658,1396,1635,28,0,0,1221,0,1,0,0,0,772,3610,1963,840,834,99.3,0,0
Alexandre Lacazette\Alexandre-Lacazette,FRA,FW,Arsenal,28,1991,20.8,786,22,97,366,361,116,742,25,46,54.3,27,3,543,2669,1258,906,555,61.3,60,43
Adam Lallana\Adam-Lallana,ENG,MFFW,Liverpool,31,1988,4.2,333,7,52,178,126,12,331,2,6,33.3,4,1,236,1117,523,273,236,86.4,5,7
Érik Lamela\Erik-Lamela,ARG,MFFW,Tottenham,27,1992,13.5,772,17,94,360,396,44,717,31,45,68.9,33,0,581,4364,2569,701,551,78.6,28,30
Tariq Lamptey\Tariq-Lamptey,ENG,DF,Brighton,18,2000,6.5,326,22,110,137,108,11,280,23,30,76.7,24,1,211,1456,944,196,171,87.2,11,13
Tariq Lamptey\Tariq-Lamptey,ENG,DF,Chelsea,18,2000,0.4,18,0,3,8,9,1,13,0,0,,0,0,8,73,56,5,5,100,0,1
Henri Lansbury\Henri-Lansbury,ENG,MF,Aston Villa,28,1990,2.2,105,2,24,53,30,5,104,1,1,100,1,0,53,190,58,81,61,75.3,3,1
Manuel Lanzini\Manuel-Lanzini,ARG,MFFW,West Ham,26,1993,15.3,941,14,117,558,337,34,881,28,42,66.7,28,0,733,4633,2375,858,708,82.5,26,24
Aymeric Laporte\Aymeric-Laporte,FRA,DF,Manchester City,25,1994,12.2,1192,115,485,779,36,4,1172,2,2,100,2,0,903,5957,4049,977,960,98.3,3,1
Jamaal Lascelles\Jamaal-Lascelles,ENG,DF,Newcastle Utd,25,1993,23.1,1074,207,728,353,41,18,1059,8,12,66.7,8,0,542,2854,1101,565,549,97.2,5,3
Valentino Lazaro\Valentino-Lazaro,AUT,DFMF,Newcastle Utd,23,1996,5.3,240,18,92,96,64,7,211,12,20,60,15,0,161,911,470,190,148,77.9,5,6
Moritz Leitner\Moritz-Leitner,GER,MF,Norwich City,26,1992,7.6,645,17,177,353,165,11,623,7,13,53.8,9,0,469,2739,1639,530,484,91.3,9,10
Florian Lejeune\Florian-Lejeune,FRA,DF,Newcastle Utd,28,1991,4.9,249,22,136,103,18,5,231,2,3,66.7,2,0,123,592,227,117,112,95.7,0,5
Aaron Lennon\Aaron-Lennon,ENG,MF,Burnley,32,1987,5.5,189,12,39,79,83,6,187,6,8,75,6,0,125,788,467,156,115,73.7,7,5
Bernd Leno\Bernd-Leno,GER,GK,Arsenal,27,1992,29.4,1074,973,1067,8,0,0,768,1,2,50,1,0,497,1995,1050,444,442,99.5,0,0
Jefferson Lerma\Jefferson-Lerma,COL,MF,Bournemouth,24,1994,30,1700,126,505,980,285,18,1677,25,33,75.8,27,1,1012,4740,2005,1026,952,92.8,22,21
Jamal Lewis\Jamal-Lewis,NIR,DF,Norwich City,21,1998,25.6,1599,125,659,683,395,23,1352,37,62,59.7,39,2,961,7358,4286,1031,925,89.7,26,23
Victor Lindelöf\Victor-Lindelof,SWE,DF,Manchester Utd,25,1994,34.4,2308,344,1248,1132,70,11,2252,3,8,37.5,4,0,1466,8828,4914,1571,1556,99,7,4
Jesse Lingard\Jesse-Lingard,ENG,MFFW,Manchester Utd,26,1992,10.4,520,2,27,269,262,38,500,9,18,50,10,1,382,2256,1112,556,408,73.4,23,12
Hugo Lloris\Hugo-Lloris,FRA,GK,Tottenham,32,1986,20.1,622,590,622,0,0,0,435,0,1,0,0,0,241,1077,614,222,220,99.1,1,0
Giovani Lo Celso\Giovani-Lo-Celso,ARG,MFFW,Tottenham,23,1996,16.6,1233,29,191,704,448,28,1156,38,68,55.9,41,1,893,6823,3770,951,862,90.6,22,25
Jürgen Locadia\Jurgen-Locadia,NED,MFFW,Brighton,25,1993,1,34,0,2,16,17,8,34,1,1,100,1,0,25,105,59,43,22,51.2,8,2
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,ENG,MFFW,Chelsea,23,1996,2.3,145,6,18,79,57,12,144,2,2,100,2,0,101,631,320,147,116,78.9,2,3
Kevin Long\Kevin-Long,IRL,DF,Burnley,28,1990,6.3,254,35,153,108,4,3,251,1,1,100,1,0,101,474,173,121,117,96.7,0,1
Shane Long\Shane-Long,IRL,FW,Southampton,32,1987,15.5,611,16,48,256,329,71,606,8,18,44.4,9,0,295,1548,721,885,456,51.5,62,27
Matthew Longstaff\Matthew-Longstaff,ENG,MF,Newcastle Utd,19,2000,6.4,274,9,67,167,48,5,270,5,7,71.4,5,0,169,598,228,206,192,93.2,4,8
Sean Longstaff\Sean-Longstaff,ENG,MF,Newcastle Utd,21,1997,15.3,850,39,222,490,172,9,806,9,14,64.3,10,1,479,2238,890,558,497,89.1,18,19
Dejan Lovren\Dejan-Lovren,CRO,DF,Liverpool,30,1989,8.6,730,75,354,407,22,13,715,1,1,100,1,0,436,2461,1420,489,486,99.4,2,1
Matthew Lowton\Matthew-Lowton,ENG,DF,Burnley,30,1989,17,928,80,269,476,237,10,769,11,18,61.1,11,0,430,2048,1198,471,436,92.6,11,5
David Luiz\David-Luiz,BRA,DF,Arsenal,32,1987,31.2,2050,392,1183,972,54,19,1946,4,9,44.4,4,0,1332,9431,5693,1454,1427,98.1,7,6
Douglas Luiz\Douglas-Luiz,BRA,MF,Aston Villa,21,1998,29,1521,109,439,910,300,36,1458,30,41,73.2,34,2,942,6294,3396,1038,926,89.2,24,28
John Lundstram\John-Lundstram,ENG,MF,Sheffield Utd,25,1994,27.3,1488,57,257,704,617,64,1466,17,34,50,20,4,972,5340,1931,1274,1059,83.1,36,21
Alexis Mac Allister\Alexis-Mac-Allister,ARG,MFFW,Brighton,20,1998,3.9,183,2,25,72,93,6,152,3,6,50,4,0,89,431,232,120,94,78.3,7,9
James Maddison\James-Maddison,ENG,MF,Leicester City,22,1996,29.2,2010,20,212,1038,877,84,1779,56,83,67.5,58,6,1455,7734,3579,1651,1439,87.2,46,47
Harry Maguire\Harry-Maguire,ENG,DF,Manchester Utd,26,1993,38,2828,428,1430,1472,167,57,2756,10,13,76.9,10,0,1833,14285,8408,1959,1915,97.8,7,10
Riyad Mahrez\Riyad-Mahrez,ALG,FW,Manchester City,28,1991,21.6,1476,24,122,602,876,149,1401,60,94,63.8,61,1,1154,7920,4574,1367,1154,84.4,33,38
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,ENG,DF,Arsenal,21,1997,15.4,1179,74,450,569,230,18,1002,22,44,50,25,2,727,3895,2257,768,731,95.2,13,16
Sadio Mané\Sadio-Mane,SEN,FW,Liverpool,27,1992,30.5,1590,13,125,627,1002,221,1572,76,116,65.5,84,6,1248,9671,5435,1843,1275,69.2,85,72
Javier Manquillo\Javier-Manquillo,ESP,DF,Newcastle Utd,25,1994,17.8,815,77,319,324,212,14,685,13,20,65,14,0,406,2320,1351,458,401,87.6,15,8
Solly March\Solly-March,ENG,DFFW,Brighton,25,1994,12.7,759,22,139,317,363,47,675,18,30,60,19,1,518,3774,2173,585,484,82.7,12,28
Pablo Marí\Pablo-Mari,ESP,DF,Arsenal,25,1993,1.3,111,21,52,65,1,0,110,0,0,,0,0,70,503,335,82,81,98.8,0,0
Adrian Mariappa\Adrian-Mariappa,JAM,DF,Watford,32,1986,16.8,762,84,315,344,121,5,628,1,3,33.3,2,0,315,1046,433,346,330,95.4,5,3
Anthony Martial\Anthony-Martial,FRA,FW,Manchester Utd,23,1995,29.2,1074,18,51,400,694,188,1048,64,104,61.5,66,2,892,5737,3210,1399,897,64.1,66,68
David Martin\David-Martin,ENG,GK,West Ham,33,1986,4.8,134,117,134,0,0,0,72,0,0,,0,0,44,254,162,31,31,100,0,0
Josh Martin\Josh-Martin,ENG,FW,Norwich City,17,2001,0.4,20,0,3,12,5,1,20,1,1,100,1,0,16,123,21,20,15,75,1,1
Martinelli\Martinelli,BRA,FW,Arsenal,18,2001,7.4,275,10,62,111,131,40,273,12,30,40,13,0,190,1839,1243,311,181,58.2,24,21
Emiliano Martínez\Emiliano-Martinez,ARG,GK,Arsenal,26,1992,8.6,308,275,308,0,0,0,226,0,0,,0,0,148,589,303,135,135,100,0,0
Adam Masina\Adam-Masina,ITA,DF,Watford,25,1994,20.2,1186,102,392,567,269,21,973,11,18,61.1,11,0,535,2661,1350,568,523,92.1,11,13
Arthur Masuaku\Arthur-Masuaku,COD,DF,West Ham,25,1993,10.4,745,52,239,385,177,14,659,31,39,79.5,31,1,489,3263,2052,463,424,91.6,9,23
Juan Mata\Juan-Mata,ESP,MFFW,Manchester Utd,31,1988,8.4,589,3,36,319,267,33,560,5,12,41.7,7,0,459,2238,1121,605,489,80.8,10,12
Nemanja Matić\Nemanja-Matic,SRB,MF,Manchester Utd,30,1988,17.6,1416,55,390,903,246,9,1388,23,29,79.3,24,0,1002,6310,3689,1053,1014,96.3,10,24
Joël Matip\Joel-Matip,CMR,DF,Liverpool,27,1991,7.8,626,48,276,365,34,10,610,2,2,100,2,0,398,2513,1768,412,408,99,1,2
Neal Maupay\Neal-Maupay,FRA,FW,Brighton,22,1996,30.7,1063,16,79,445,597,190,999,34,70,48.6,36,1,774,5005,2541,1440,763,53,57,70
James McArthur\James-McArthur,SCO,MF,Crystal Palace,31,1987,34.3,1935,109,478,1038,519,104,1868,32,49,65.3,33,1,1249,6660,3185,1347,1178,87.5,42,44
Oliver McBurnie\Oliver-McBurnie,SCO,FW,Sheffield Utd,23,1996,23.5,933,50,114,403,462,114,917,25,44,56.8,26,1,436,2469,1228,1211,636,52.5,52,41
Alex McCarthy\Alex-McCarthy,ENG,GK,Southampton,29,1989,28,896,710,892,6,0,0,617,2,2,100,2,0,392,1923,1058,354,353,99.7,1,0
James McCarthy\James-McCarthy,IRL,MF,Crystal Palace,28,1990,18.7,1018,35,238,623,205,16,948,6,11,54.5,9,2,517,2434,894,606,539,88.9,11,15
John McGinn\John-McGinn,SCO,MF,Aston Villa,24,1994,25.7,1106,43,214,534,442,76,1043,53,69,76.8,55,0,770,5347,2802,826,684,82.8,37,57
David McGoldrick\David-McGoldrick,IRL,FW,Sheffield Utd,31,1987,20.2,895,25,95,417,425,66,881,31,47,66,34,2,566,3071,1269,1088,657,60.4,57,31
Michael McGovern\Michael-McGovern,NIR,GK,Norwich City,35,1984,1.8,57,51,57,0,0,0,38,0,0,,0,0,22,94,47,20,20,100,0,0
Kenny McLean\Kenny-McLean,SCO,MF,Norwich City,27,1992,33,2028,108,569,1138,460,27,1950,34,49,69.4,36,5,1309,7147,3555,1623,1403,86.4,40,38
Dwight McNeil\Dwight-McNeil,ENG,MF,Burnley,19,1999,37.1,1700,50,292,858,748,51,1575,79,134,59,83,6,1276,11289,5735,1236,1037,83.9,39,81
Scott McTominay\Scott-McTominay,SCO,MF,Manchester Utd,22,1996,19.7,1289,69,323,780,259,23,1268,31,47,66,35,5,910,5092,2440,915,850,92.9,24,32
Ben Mee\Ben-Mee,ENG,DF,Burnley,29,1989,32,1609,235,854,768,54,38,1553,6,7,85.7,6,1,774,3265,1331,815,785,96.3,6,3
Benjamin Mendy\Benjamin-Mendy,FRA,DF,Manchester City,25,1994,16.6,1419,33,237,710,552,11,1294,23,31,74.2,24,5,983,4367,2699,1123,1067,95,6,16
Nampalys Mendy\Nampalys-Mendy,FRA,MF,Leicester City,27,1992,3.2,246,5,51,170,35,1,245,2,3,66.7,2,0,191,838,338,193,187,96.9,3,4
Chris Mepham\Chris-Mepham,WAL,DF,Bournemouth,21,1997,10.1,626,127,384,259,24,11,618,2,4,50,3,0,369,2348,1229,383,375,97.9,3,4
Max Meyer\Max-Meyer,GER,MFFW,Crystal Palace,23,1995,7.3,300,3,57,152,118,24,299,4,12,33.3,4,0,218,1268,612,279,212,76,12,13
Luka Milivojević\Luka-Milivojevic,SRB,MF,Crystal Palace,28,1991,27.9,1784,96,504,1003,358,10,1529,11,17,64.7,12,1,963,4508,1964,1023,970,94.8,19,11
James Milner\James-Milner,ENG,MFDF,Liverpool,33,1986,10.4,875,29,163,509,244,12,811,9,13,69.2,10,0,562,2514,1190,673,635,94.4,3,7
Yerry Mina\Yerry-Mina,COL,DF,Everton,24,1994,25.4,1573,274,941,667,72,51,1540,3,5,60,4,0,924,6148,3396,1001,969,96.8,9,3
Takumi Minamino\Takumi-Minamino,JPN,FWMF,Liverpool,24,1995,2.8,156,3,11,76,83,20,155,4,8,50,4,0,123,617,252,169,130,76.9,9,9
Tyrone Mings\Tyrone-Mings,ENG,DF,Aston Villa,26,1993,32.2,1694,385,1114,632,54,24,1645,11,14,78.6,13,0,956,6820,2771,997,973,97.6,7,8
Tyrick Mitchell\Tyrick-Mitchell,ENG,DF,Crystal Palace,19,1999,2.2,142,6,42,70,38,2,114,1,1,100,1,0,77,364,230,86,80,93,1,5
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,ARM,FW,Arsenal,30,1989,1.2,98,1,9,42,59,18,94,2,5,40,2,0,77,423,250,89,74,83.1,3,4
Nacho Monreal\Nacho-Monreal,ESP,DF,Arsenal,33,1986,3,231,18,90,93,59,7,205,1,3,33.3,1,0,163,618,355,177,160,90.4,3,1
